Gene name,Coordinates,,Orientation,Description
sfmH,561538,562542,+,Salmonella fimbriae gene homolog
sfmF,562553,563068,+,Salmonella fimbriae gene homolog
fimZ,563071,563703,-,Putative fimbriae protein synthesis regulator
argU,563946,564022,+,Arginine tRNA4
intD,564038,565201,-,Integrase gene within defective prophage DLP12
ybcB,565084,565302,-,Function unknown
ybcC,565321,565599,-,Function unknown
ybcD,565602,565907,+,Function unknown
renD,565907,567470,+,Phage lambda ren gene homolog in defective prophage DLP12; interrupted by IS3C
emrE,567538,567870,+,Multidrug resistance pump family; cell shape; methylviologen sensitivity
ybcK,568125,569651,+,Function unknown
ybcL,570116,570667,+,Function unknown
ybcM,570677,571474,+,Function unknown
ylcH,571591,571692,+,Function unknown
ybcN,571689,572144,+,Function unknown
ninE,572144,572314,+,Homologus to phage lambda ninE protein; in cryptic prophage DLP12
ybcO,572307,572597,+,Function unknown
rus,572594,572956,+,Resolvase; resolves Holliday structures
ylcG,572953,573093,+,Function unknown
ybcQ,573179,573562,+,Function unknown
nmpC,573752,576048,-,"Outer membrane porin, in cryptic prophage DLP12; interrupted by IS5B"
essD,576621,576836,+,Phage lambda S lysis protein homolog
ybcS,576836,577333,+,Function unknown
rzpD,577330,577791,+,Homolog to lambda Rz gene in prophage DLP12
rzoD,577550,577732,+,Homolog to lambda Rz1 lipoprotein in prophage DLP12
ybcU,577823,578116,-,Function unknown
ybcV,578407,578817,-,Function unknown
ybcW,579103,579309,+,Function unknown
nohB,580057,580602,+,Homolog to phage lambda Nu1 DNA packaging protein; in cryptic prophage DLP12
ylcF,580577,580885,+,Function unknown
tfaD,580883,581320,+,Phage lambda tail fiber gene homolog in prophage DLP12
ybcY,581375,582025,-,Function unknown
ylcE,582176,582358,+,Function unknown
appY,582904,583653,+,Regulates hya and appA operons; induced by PO4 starvation and stationary phase
ompT,583903,584856,-,"Outer membrane protein 2b; protease VII; cleaves T7 RNA polymerases, Ada, SecY"
envY,585370,586131,-,Envelope protein involved with thermoregulation of porin
ybcH,586314,587204,-,Function unknown
nfrA,587205,590177,-,"Outer membrane protein, putative structural receptor for N4 adsorption"
nfrB,590164,592401,-,Phage N4 susceptibility; membrane protein
ybcZ,592551,593993,-,Function unknown
ylcA,593983,594666,-,Function unknown
ylcB,594823,596196,+,Function unknown
ylcC,596354,596686,+,Function unknown
ylcD,596702,597925,+,Function unknown
ybdE,597937,601080,+,Function unknown
pheP,601182,602558,+,Phenylalanine-specific permease
ybdG,602639,603886,-,Function unknown
nfnB,603994,604647,-,Resistance to nitrofurantoin; a nitroreductase
ybdF,604741,605109,-,Function unknown
ybdJ,605174,605422,-,Function unknown
ybdK,605488,606606,-,Function unknown
ybdY,607059,607211,+,Function unknown
entD,608682,609311,-,"Enterochelin synthetase, component D; facilitates secretion of enterobactin peptide"
fepA,609477,611717,-,Outer membrane component of ferribactin transport system
fes,612038,613162,+,Enterochelin esterase
ybdZ,613165,613383,+,Function unknown
entF,613380,617261,+,"Enterochelin synthetase, component F"
fepE,617477,618610,+,Ferric enterobactin uptake
fepC,618607,619422,-,Cytoplasmic membrane component of ferrienterobactin transport
fepG,619419,620411,-,"Ferrienterobactin permease, membrane-bound subunit"
fepD,620408,621412,-,"Ferrienterobactin permease, membrane-bound subunit"
ybdA,621523,622773,+,Function unknown
fepB,622777,623733,-,Periplasmic component of ferrienterobactin transport system
entC,624108,625283,+,Isochorismate synthetase
entE,625293,626903,+,"Enterochelin synthetase, component E"
entB,626917,627774,+,"2,3-Dihydro-2,3-dihydroxybenzoate synthetase"
entA,627774,628520,+,"2,3-Dihydro-2,3-dihydroxybenzoate dehydrogenase"
ybdB,628523,628936,+,Function unknown
cstA,629117,631222,+,Starvation induced stress response protein
ybdD,631405,631602,+,Function unknown
ybdH,631612,632700,-,Function unknown
ybdL,632809,633969,+,Function unknown
ybdM,633970,634599,-,Function unknown
ybdN,634572,635792,-,Function unknown
ybdO,635939,636841,-,Function unknown
dsbG,637050,637796,-,"Thiol-disulphide oxidase; multicopy resistance to DTT; mutants accumulate reduced proteins, corrected by DsbA/B overexpression"
ahpC,638168,638731,+,Alkyl hydroperoxide reductase small subunit
ahpF,638976,640541,+,Alkyl hydroperoxide reductase large subunit
ybdQ,640662,641090,-,Function unknown
ybdR,641311,642549,+,Function unknown
rnk,642780,643190,-,Regulator of nucleoside diphosphate kinase; suppresses Pseudomonas algR2
rna,643420,644226,-,Cleaves phosphodiester bond between two nucleotides; RNase I
citT,644340,645803,-,Putative cit operon gene of unknown function; predicted integral membrane protein
citG,645854,646732,-,Putative cit operon gene of unknown function
citX,646707,647258,-,Putative cit operon gene of unknown function
citF,647262,648794,-,Putative citrate lyase alpha chain
citE,648805,649713,-,Putative citrate lyase beta chain
citD,649710,650006,-,Putative citrate lyase acyl carrier protein
citC,650021,651079,-,Putative acetate:SH-citrate lyase ligase
dpiB,651458,653116,+,Putative two-component system histidine protein kinase for DpiA protein
dpiA,653085,653765,+,Destabilizes plasmid inheritance; two-component system sensor protein; regulates cit operon and appY gene
dcuC,653806,655191,-,"C4-dicarboxylate carrier, anaerobic; W3110 has an IS5 insertion"
crcA,655780,656340,+,High-copy crc-csp restores normal chromosome condensation in presence of camphor or mukB mutations
cspE,656515,656724,+,High copy promotes or protects chromosome condensation; cspA homolog
crcB,656778,657161,-,High-copy crc-csp restores normal chromosome condensation in presence of camphor or mukB mutations
ybeM,657254,658041,+,Function unknown
tatE,658170,658373,+,Involved in membrane translocation of periplasmic proteins that preserves folded structures and bound ligands
lipA,658474,659439,-,Lipoate biosynthesis
ybeF,659648,660601,-,Function unknown
lipB,660860,661501,-,Lipoyl-protein ligase
ybeD,661602,661865,-,Function unknown
dacA,661975,663186,-,D-alanine carboxypeptidase IA; penicillin-binding protein; deletion suppresses ftsK mutant block
rlpA,663325,664413,-,Minor lipoprotein
mrdB,664424,665536,-,Affects cell shape; mecillinam sensitivity
mrdA,665539,667440,-,"Penicillin-binding protein PBP 2, mecillinam resistance"
ybeA,667471,667938,-,Function unknown
ybeB,667942,668259,-,Function unknown
cobC,668519,669130,-,Partial cobalamin biosynthesis pathway present in E. coli (potential)
ybeN,669154,669795,-,Function unknown
holA,669797,670828,-,"DNA polymerase III, delta-subunit"
rlpB,670828,671409,-,Minor lipoprotein
leuS,671424,674006,-,Leucyl-tRNA synthetase
ybeL,674241,674723,+,Function unknown
ybeQ,674793,675770,-,Function unknown
ybeR,675934,676641,+,Function unknown
ybeS,676638,678065,+,Function unknown
ybeT,678075,678629,-,Function unknown
ybeU,678731,679438,+,Function unknown
ybeV,679435,680886,+,Function unknown
ybeW,680946,682616,-,Function unknown
ybeK,682700,683635,-,Function unknown
gltL,683753,684478,-,"Membrane protein, transport gene"
gltK,684478,685152,-,"Membrane protein, transport gene"
gltJ,685152,685892,-,"Membrane protein, transport gene"
ybeJ,686062,686970,-,Function unknown
cutE,688566,690104,-,Apolipoprotein N-acetyltransferase; copper sensitivity
ybeX,690129,691007,-,Function unknown
ybeY,691097,691564,-,Function unknown
ybeZ,691561,692601,-,Function unknown
yleA,692754,694178,-,Function unknown
yleB,694324,695499,+,Function unknown
glnX,695653,695727,-,Glutamine tRNA2
glnV,695765,695839,-,Glutamine tRNA2
metU,695887,695963,-,Methionine tRNAm; duplicate gene
glnW,695979,696053,-,Glutamine tRNA1
glnU,696088,696162,-,Glutamine tRNA1
leuW,696186,696270,-,Leucine tRNA3
metT,696280,696356,-,Methionine tRNAm; duplicate gene
asnB,696736,698400,-,Asparagine synthetase B
nagD,698797,699549,-,"Function unknown, expressed as part of nag operon"
nagC,699597,700817,-,Transcriptional regulator of nag operon
nagA,700826,701974,-,N-acetylglucosamine-6-phosphate deacetylase
nagB,702034,702834,-,Glucosamine-6-phosphate deaminase
nagE,703167,705113,+,N-acetylglucosamine-specific enzyme II of phosphotransferase system
glnS,705316,706980,+,Glutaminyl-tRNA synthetase
ybfM,707557,708963,+,Function unknown
ybfN,709013,709339,+,Function unknown
fur,709423,709869,-,"Ferric iron uptake, negative regulatory gene"
fldA,710158,710688,-,Flavodoxin
ybfE,710828,711121,-,Function unknown
ybfF,711261,712025,-,Function unknown
seqA,712210,712755,+,DNA biosynthesis; negative modulator of replication initiation
pgm,712781,714421,+,Phosphoglucomutase
ybfP,714635,715129,+,Function unknown
ybfG,715170,715820,-,Function unknown
ybfI,715944,716093,-,Function unknown
potE,716169,717488,-,Putrescine-lyase antiporter
speF,717485,719683,-,"Ornthine decarboxylase, inducible"
ybfK,719806,720063,+,Function unknown
kdpE,720279,720956,-,Transcriptional effector of kdp operon
kdpD,720953,723637,-,Sensor kinase for K+-kdp system
kdpC,723630,724202,-,High-affinity potassium transport
kdpB,724211,726259,-,High-affinity potassium transport
kdpA,726282,727955,-,K+-translocating ATPase Kdp subunit
kdpF,727955,728044,-,Inner membrane protein for K+ transport
ybfA,728357,728563,+,Function unknown
rhsC,728806,732999,+,Encoded within repeats that are hotspots for chromosomal duplication formation; Function of protein is unknown
ybfB,732999,733325,+,Function unknown
ybfO,733356,734876,+,Function unknown
ybfC,734873,735442,+,Function unknown
ybfL,736048,737184,+,Function unknown
ybfD,737315,738076,+,Function unknown
ybgA,738224,738733,+,Function unknown
phrB,738730,740148,+,Deoxyribodipyrimidine photolyase
ybgH,740298,741779,-,Function unknown
ybgI,742050,742793,+,Function unknown
ybgJ,742816,743472,+,Function unknown
ybgK,743466,744398,+,Function unknown
ybgL,744388,745122,+,Function unknown
nei,745158,745949,+,"DNA glycosylase/apurinic lyase, deoxyinosine-specific; endonuclease VIII"
abrB,745946,746992,-,Possible regulator of aidB expression
ybgO,747144,748205,-,Function unknown
ybgP,748202,748930,-,Function unknown
ybgQ,748945,751401,-,Function unknown
ybgD,751452,752018,-,Function unknown
gltA,752408,753691,-,Citrate synthase
sdhC,754400,754789,+,"Succinate dehydrogenase membrane anchor subunit, cytochrome b556"
sdhD,754783,755130,+,Succinate dehydrogenase hydrophobic subunit
sdhA,755130,756896,+,Succinate dehydrogenase flavoprotein subunit
sdhB,756912,757628,+,Succinate dehydrogenase iron-sulfur protein
sucA,757929,760730,+,Alpha-ketoglutarate dehydrogenase (decarboxylase component)
sucB,760745,761962,+,Dihydrolipoamide succinyltransferase component of alpha-ketoglutar deHase
sucC,762237,763403,+,Succinyl-CoA synthetase beta-subunit
sucD,763403,764272,+,Succinyl-CoA synthetase alpha-subunit
farR,764376,765098,-,Fatty acyl responsive regulator
hrsA,765207,767183,+,Suppresses ompC mutation's defective thermoresponse
ybgG,767201,769834,+,Function unknown
cydA,770678,772249,+,"Cytochrome d terminal oxidase, polypeptide subunit I"
cydB,772265,773404,+,"Cytochrome d terminal oxidase, polypeptide subunit II"
ybgT,773419,773532,+,Function unknown
ybgE,773532,773825,+,Function unknown
ybgC,773975,774379,+,Function unknown
tolQ,774376,775068,+,"Tolerance to group A colicins, single-stranded DNA filamentous phage; cell envelope integrity; inner membrane protein"
tolR,775072,775500,+,"Tolerance to group A colicins, single-stranded DNA filamentous phage; cell envelope integrity; inner membrane protein"
tolA,775565,776830,+,"Tolerance to group A colicins, single-stranded filamentous DNA phage; required for OM integrity; membrane protein; bacteriocin tolerant"
tolB,776963,778255,+,"Tolerance to colicins E2, E, A, and K"
pal,778290,778811,+,Essential lipoprotein associated with peptidoglycan lipoprotein
ybgF,778821,779612,+,Function unknown
lysT,779777,779852,+,Lysine tRNA
valT,779988,780063,+,Valine tRNA1; duplicate gene with triplicated valUXY
lysW,780066,780141,+,Lysine tRNA
valZ,780291,780366,+,Valine tRNA1
lysY,780370,780445,+,Lysine tRNA
lysZ,780592,780667,+,Lysine tRNA
lysQ,780800,780875,+,Lysine tRNA
nadA,781308,782351,+,"Quinolinate synthetase, A protein"
pnuC,782389,783108,+,"Nicotinamide mononucleotide transporter, putative, by homology with Salmonella"
ybgR,783105,784046,-,Function unknown
ybgS,784160,784540,-,Function unknown
aroG,784856,785908,+,DAHP synthetase; phenylalanine repressible; TyrR regulon
gpmA,786066,786818,-,Phosphoglycerate mutase 1
galM,787020,788060,-,Aldose-1-epimerase (mutarotease)
galK,788054,789202,-,Galactose resistance; galactokinase
galT,789206,790252,-,Galactose-1-phosphate uridylyltransferase
galE,790262,791278,-,UDP-galactose 4-epimerase; hexose-1-phosphate uridylyltransferase
modF,791539,793011,-,Molybdate uptake
modE,793079,793867,-,Molybdate uptake
ybhT,793996,794145,+,Function unknown
modA,794312,795085,+,Molybdate uptake; chlorate resistance; periplasmic molybdate binding protein
modB,795085,795774,+,Molybdate uptake; chlorate resistance; membrane-spanning ABC protein
modC,795777,796835,+,Molybdate uptake; chlorate resistance
ybhA,796836,797654,-,Function unknown
ybhE,797809,798804,+,Function unknown
ybhD,798845,799798,-,Function unknown
ybhH,799982,801034,+,Function unknown
ybhI,801110,802543,+,Function unknown
ybhJ,802726,804987,+,Function unknown
ybhC,805221,806504,-,Function unknown
ybhB,806656,807132,-,Function unknown
bioA,807191,808480,-,Diaminopelargonic acid synthetase
bioB,808567,809607,+,Biotin synthetase; dethiobiotin to biotin pathway
bioF,809604,810758,+,7-Keto-8-aminopelargonic acid synthetase
bioC,810745,811500,+,Blocked prior to pimeloyl CoA formation
bioD,811493,812170,+,Dethiobiotin synthetase
uvrB,812749,814770,+,"Excision nuclease subunit B, ATPase I and helicase II; repair of UV damage to DNA"
ybhK,814962,815870,-,Function unknown
moaA,816267,817256,+,MPT synthesis; chlorate resistance protein A
moaB,817278,817790,+,MPT synthesis; chlorate resistance protein B
moaC,817793,818278,+,MPT synthesis; chlorate resistance protein C
moaD,818271,818516,+,MPT synthesis; chlorate resistance
moaE,818518,818970,+,MPT synthesis; chlorate resistance
ybhL,819107,819811,+,Function unknown
ybhM,820016,820729,+,Function unknown
ybhN,820765,821721,-,Function unknown
ybhO,821721,822962,-,Function unknown
ybhP,822959,823720,-,Function unknown
ybhQ,823853,824263,+,Function unknown
ybhR,824225,825331,-,Function unknown
ybhS,825342,826475,-,Function unknown
ybhF,826468,828204,-,Function unknown
ybhG,828197,829195,-,Function unknown
ybiH,829195,829866,-,Function unknown
rhlE,830095,831459,+,DEAD-box protein family; ATP-dependent RNA helicase-like protein
ybiA,831691,832173,-,Function unknown
dinG,832293,834443,+,LexA regulated (SOS) repair enzyme
ybiB,834471,835433,+,Function unknown
ybiC,835574,836659,+,Function unknown
ybiJ,836888,837148,-,Function unknown
ybiI,837413,837679,-,Function unknown
ybiX,837753,838430,-,Function unknown
ybiL,838472,840754,-,Function unknown
ybiM,841019,841279,-,Function unknown
ybiN,841555,842481,+,Function unknown
ybiO,842478,844703,-,Function unknown
glnQ,844964,845686,-,Glutamine high-affinity transport system
glnP,845683,846342,-,L-Glutamate periplasmic binding protein; transport; methionine sulfoximine resistance
glnH,846481,847227,-,Periplasmic glutamine-binding protein
dps,847631,848134,-,Stress response DNA-binding protein; starvation induced resistance to H2O2 phase
ybiF,848433,849320,-,Function unknown
ompX,849673,850188,+,"Outer membrane protein, with role in inducing RNAP-sigma E production"
ybiP,850237,851820,-,Function unknown
ybiQ,852406,852873,+,Function unknown
ybiR,852870,853988,+,Function unknown
ybiS,854047,854967,-,Function unknown
ybiT,855186,856778,+,Function unknown
ybiU,857019,858284,-,Function unknown
